sequence,16S_rRNA_Count
beed8cd7c0f724ff1500c80fa677c5cc,1
38779fb5a0719f36d5f192cff99183c1,5
f84a11b53623cc501c1804bd1fed799b,2
6564cfb915b0f0019e6996489715b64c,1
be5a669c0f954d6473a140201f47a396,1
2981cfc05beb216a7cf4361702043f00,1
bafe94d5850ae0b0fb309db3a09c71d1,1
ce1b24d6a565c1a7d0a202eacb643844,1
63448492e5644907462175eca84ddca4,1
40c9fd01a4fb965886c9a294647b15b3,1
902962ffa41219cb4c3c68d606523be6,1
7442eb98ccc959a386fd4f505167e598,1
78071b43244e5ebd909b446a937d7c77,1
4240cbdefb886ef8e0b16e50862861b4,1
6bff09aba02723f24e0989e435f96f78,1
79c5b9f59a284cef952feb70fc89e1b3,1
9534785832c1ae0c827200b9309d0052,1
36416a6ca1c33ce66454e85c5dbdb886,1
c51618b5c61df4e3edf205c1b71cf3bf,1
7ec962d363728508e6a61787bc2d0503,1
13b53bd9340c551c07d4e9a370633e21,3
8efb23a91f6191400d7d24ef5d095bdc,1
654eb121f8ecb82a696d9a7b75948d5e,1
7dfc25f15ef8d7eb2bc358c7c7df677e,1
4b91fc1e807ca9f8e015ef6ee98d851a,1
ecf6e8cccd342d60006717d52172d3e2,1
444db1f650096a9f8dd4671d6c1ea166,1
d98297e8bf1f8d019e868c17639f621d,1
df2faec4d05883e58a283c18e69e1495,1
504c9f1a65de51788fc69dc8593fd957,1
3025883c09757e87ae1fc3417f8fad6b,1
5fb73695980adb06bd9ca5faea3c8c80,1
82edc75982c8925226f402c7be6e69c9,1
293b9eb147d076e9a4678da1e6df8e03,1
317a492a3460afc9699921724219ea15,1
645de395ed42bb4cc11bc94105f8ba39,1
4cf1bfb529c7305692980222d5918790,1
04b0bb6f274ab1403df8e7bd9863feca,1
2cba873e0ef974d3d40099f81386015a,1
e378998e738805b2a6434d3dd6cc6339,1
25a079b5d33af3bbdedc1686ef228b82,1
94c832563747eda449de92bd901c457e,1
9237a652bd2ddb0e03c6ed2a4a468e29,1
2573d88484d9b2979456e4a5accbabc6,4
f43c882eb8f70250eeea031ef8a02384,1
2857926c79483b57435c417e3c6aa9c2,1
97bc1a3a66647fef0ff5bf7b54d9e0cd,1
fd42b79d8f24be649d57e8ae0b8186cc,1
035501a4a51a406375a668b3c22abe37,1
ac65471641258ed4eaff1280a25e18d5,1
93d10086e9dd1c1e2bea06efdc8a0f34,2
da9b25f4bef0018236cd5ab5aafdc809,1
8d35493211ebffe2513cd618dff49a8f,1
d0eae6e808e9c29c4446aab43e052fa0,2
69d8c08925ea383b6637499edfc2db55,1
eca52b1f059e2208fbc79a0ec09b9d9c,2
9539b4aaf9ff4f71923ba59134f0c4a3,1
f141059b99d9f22d9d3741b22b865219,1
fa1575a3eef2203ae19d0d2786074e27,1
0480acb55ad8aa30a6549289cfb074c7,1
f8f9c5b8deddb9d27d83f7326399bcaa,1
00d0b30327c0d4cedc8738974f330269,1
bb37419181929435c0aa0c2546eb580e,2
fd671019e58069b9430713d480811d61,1
022690b2d256d36fcd58aa263f58cf37,5
412a10f0027be4918fd97ee703531657,1
a6f32dcb11d3b728498801fff57de6aa,1
727cd5fa4e8ac1ca036711419b1e6dc5,1
2e41c35f40fb73db0f377ea84706f87c,1
84afcdf370456c499e7b0792d1d77512,1
8b4902034e57d06fb705308229715fe9,1
116ac6d1401831d1273d4d340e9d0747,1
7c61a3e3598e8a7d652da4a684a7c965,1
40d244a03d2c54b165e1e11b6b01363c,1
0e9e417c133500ab016928d52afd76ba,1
6db8cf1ddd5cec83325ff4f55faec8a8,1
9f08232d4602186e902b3db33c8f1b40,1
f1c7a3ce0497a622e0fd5b2b722f9576,1
f09d018c818033f0c37308498d99c1a8,1
bf73935a4aa7b662206a8ba79ec0d9a7,1
f025677e27c12c1a34448d4f223cf046,1
bd0b02975c0dff8db37bbd25667c98b1,1
a51b02d2873ea1890bff4ef712c2cead,1
a277dc8d5b087c8dc96c2fee4559b73d,3
88b91856a7e554bc801c574d192c6d82,1
976392652fe1a09b99ed534e08da7e0e,1
5ca607f033c8a35d4ea6c4c2a06c128f,1
d7b79438f6dbc9f60ecca909d1b9ba63,1
ea51b4181b9869df91ba960563d49490,1
976b96be7d942504452ae8fec99a0558,1
1f3cbea6f8e6ee1efd9d917f56af8caa,1
208f0596196346f91331721ecdfd0114,1
be8e26ab0d758113bc32525e1e9ac7fa,1
21e88796b82d74863960b795276a411b,1
056fabbf66590bb491687d22b82a0afc,1
ad6a4714f67fe184ea6675f57f4ba6a5,1
3fa082b9c0be9ae7da756608a7ba9491,1
690908332668d6821a33f960ab1f0624,1
a8782f4cec9eb7059d532682535054d0,1
23a15e42d4f833e012085f3597ab9c23,1
77a6d64e7b0ba0a9207d305cbd46dc5e,1
b02c712862fc1041d455c9002b3cc725,1
5dac242ce4ce3e900789bd0c42b164d2,1
2a1d0d1f4983454d9c58780f07522125,1
fd6269fb78dfdf1c5c2d73ba3e5ebc07,1
6eba5195d5a4766c4135e993b5386026,1
35e48064d71b163be36ce2ac9ba1b2ae,1
dd281b634a5016f2b79e1e0b1849d8d9,5
a05911b88f22c9b9275e5a32e15696cb,1
39776774f4871a01cc9fa8c8cc0b0af2,1
c1ec09e2a860284e743868229862468b,1
52e6ab3f63c7054b3612260fdd6c4b08,1
c122cab89c845e6e3f3e3cd43c85f881,1
9d570e224bcd06feb15406f20691ed94,1
82d3e0165d3cbb9050b4ab4b5e8fecc4,5
d0ac2b6d896df3af28c5c036acf0c2bf,1
e52cc9b5d38ba256085c7e1a0bfd0617,1
dd9e309908f8ee1b4ac17d8eeda25b0e,1
a25ade865e39d00da5776af8b51ec56c,1
28e59cbe5ecb8c236b729f516f1edcbf,1
460eada5e527b15eb82841be16a9f691,1
994a64e50bc51fde584862791f22f1e6,1
dd41e8ee9bfc57a50dde2807447cf915,1
a933350b4628d1899d309cf800f69bac,1
7f564644df9427576ed861ecaef79d8a,1
25fbf7bcec51e79deda62951abb5d687,1
eb28c42bb8285355fffa8f18fb586bd6,1
2ab1131808c7efd61c97956b95a31ac2,1
7455e6194aea7e49be7d1ba815429968,1
5e4c7ce68e33f65766443ddb369976ac,1
567c183a7a38c17cd28c98c950d6d51d,1
9ecfa022a4d490c1fc5c70171c973770,1
560cc698a6d84dd0bb05691d3a2cb925,2
d0bf3d5221e998fae103d82bd722ac78,1
cab5597a9c63a22d1a532fe467d899c4,1
d08aaf1a7e7c26f2932ea3ff3e49d906,1
a379c5b6937da818a615007372e9db65,1
b1aa24e9a2b57fb973b280bf30cb6a93,2
feb51ed6d2bb23fe1f3e02795153d752,1
76937ce539acbea26cc3b5a1c363cac7,5
c2880732fd8da97060e417e66d10e68a,1
c18f8a396f454c864101cd597c5f248b,1
2651b48ec7536d1094c40e1ba10a214d,1
a30e0e0955c9f6b56e2504322ac8b323,1
96e2136d4308cfe1c5517c24cfb92dac,1
595ee9ab45477d0ff8266b044bf7fb84,1
6fa0fe79653ac74686b1b42f941aab8d,1
d86c52b2185a96c9ebd6205c13db8001,1
a5d2150d66b88596f7675d62229d500c,2
c339cc3a023113bfead3d78d5a74b997,1
65f18025be82caeedba716bbf72c5b41,1
f3a2574a75e7847c360b45e19c866a72,1
ff05af63f1c166320ab0de2ebb7c6d43,1
d253eb93ae00bfffa30ba88eec2fab93,1
5a954b910711d336081a1f921119a5ef,1
cf25c9b9181305cb165d3494e80c8b24,1
01bf2fe655796e23c58f51391383e07e,1
c3e8eca24d0b1286a31a60c0bec7e130,4
36ed4afd2a4a5b15cdccff389b1a0468,1
2d9107cb4bfab4f18eb61519d81ec4be,1
d02f70dad4f96d9031cd6af0d547edbc,1
a7f1790cb86e82300c0e365c89eb3bea,1
38876aab0dd85f4e8643a3c467f79507,1
8a55087fa1826d7ee61cfc213670eb19,1
39497d74856f7533ff9bb34ade480ffc,1
eb4d7a1b654931cd35a711796f749956,1
e4067f848ccaa071308d5f8e673157a2,1
6fef901e2c5c2b5147ce425972e39277,1
03e4d7bf37d3632ebf23e62f648d92ee,1
458c40297a92611dd20adaf9367f5b5d,1
5fa53832323801baded97ad6d456e2da,1
f842924b435a030a37bb73c957e91727,1
e11a8978abde7437675cb20ad0249dca,1
a182f6197a27dd228ea24bfe92eae8f4,1
3f7707458a51bfa0de5e5eaadd014f6a,1
f422a72e25dca9b4a7e1f245630340d3,1
9bc17c40ce6bf488cf78ffcaf1219028,1
49c7b1d39c6c9c6d615829b0bd8aaf16,1
02371acc2922a69f8d3a00b17f38f743,1
5c1702dafcc91d41bc6cdfd537a72e14,1
dc6802402386636681f58e0f09e807ac,5
c4467abdae508f0582ef873eb1bbbb45,1
55b027017ac93c4b1f44c9d6288c5b38,1
0e015286fbfa6ff7ba2b30fe56a674be,1
788ba0be6a018f46ec3672a4ff545cf1,1
4bb80a5eea9ebca26a759b0da457a2ea,1
57c99b2877c6280f150083433c1c66f3,1
